日付,小計
2020-09-01,1
2020-09-02,0
2020-09-03,3
2020-09-04,2
2020-09-05,6
2020-09-06,3
2020-09-07,1
2020-09-08,10
2020-09-09,3
2020-09-10,4
2020-09-11,6
2020-09-12,1
2020-09-13,0
2020-09-14,0
2020-09-15,5
2020-09-16,3
2020-09-17,0
2020-09-18,2
2020-09-19,8
2020-09-20,3
