日付,小計
2020-11-01,0
2020-11-02,0
2020-11-03,0
2020-11-04,3
2020-11-05,3
2020-11-06,0
2020-11-07,1
2020-11-08,0
2020-11-09,2
2020-11-10,0
2020-11-11,3
2020-11-12,1
2020-11-13,2
2020-11-14,0
2020-11-15,1
2020-11-16,2
2020-11-17,2
2020-11-18,0
2020-11-19,1
2020-11-20,1
2020-11-21,3
2020-11-22,2
2020-11-23,0
2020-11-24,0
2020-11-25,3
2020-11-26,2
2020-11-27,3
2020-11-28,0
