日付,小計
2020-12-01,1
2020-12-02,0
2020-12-03,1
2020-12-04,1
2020-12-05,3
2020-12-06,0
2020-12-07,3
2020-12-08,8
2020-12-09,1
2020-12-10,3
2020-12-11,3
2020-12-12,3
2020-12-13,0
2020-12-14,2
2020-12-15,7
2020-12-16,8
2020-12-17,3
2020-12-18,6
2020-12-19,9
2020-12-20,5
2020-12-21,3
2020-12-22,4
2020-12-23,5
2020-12-24,16
2020-12-25,10
2020-12-26,4
2020-12-27,0
2020-12-28,6
2020-12-29,15
2020-12-30,3
2020-12-31,6
